 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1589725,201810,0001-0600,LAX.Airport,CA,,,,11000,,VMC,,,,,,TRACON SCT,Air Carrier,B787 Dreamliner Undifferentiated or Other Model,,4,Part 121,IFR,Passenger,,Descent,,Class E SCT,,,,,,,,,,,,,,,,,,,,,,,,FMS/FMC,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 100; Flight Crew Total 13000; Flight Crew Type 742,,Troubleshooting; Confusion,,,1589725,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 210; Flight Crew Total 32800; Flight Crew Type 1037,,Troubleshooting; Confusion; Fatigue,,,1590087,Aircraft Equipment Problem Less Severe; Deviation - Altitude Crossing Restriction Not Met; Deviation / Discrepancy - Procedural Clearance,,,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,Aircraft; Airport; Procedure,Aircraft,"During the descent phase into LAX; on the GOATZ1 arrival; the FMS VNAV system would not work. Our first indication of this fact was that we never had a TOD when in the cruise phase. We were given a clearance to cross GOATZ at 16;000; but the FMS would not let us enter it; no matter what format we used. We also never had a Vertical Situation Display. We were then given a clearance to descend via the GOATZ1. Part of the distraction to us was the fact that the ATIS said that 25L; the normal runway we would be given from that direction; was closed. During the course of our arrival we were given at least four runway changes between runway 25L and 25R. During the arrival; due to the fact that I was flying the altitude restrictions using FLCH and V/S; we crossed DIRBY lower than 16;000 and BUFIE higher than 8;000.",,"[Report narrative contained no additional information.]",,"B787 flight crew reported FMS VNAV system malfunction on arrival; and using vertical speed to fly the STAR.",
1589744,201810,,PIT.Airport,PA,,,,3500,,VMC,,,,,,TRACON PIT,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Final Approach,Visual Approach,Class B PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Type 786,,Distraction,,,1589744,,,,,,,,,,,,Deviation - Altitude Crossing Restriction Not Met; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Terrain Warning,In-flight,Flight Crew Regained Aircraft Control,Procedure,Procedure,"Conducting the visual approach; RNAV back up Runway 28C in PIT. ATC instructed maintain 3;500 feet until established on final. Crossed FAF about 500 feet high to comply. As I was making a positive correction to get the aircraft on vertical profile; received a 'Terrain; Terrain'. This occurred above 2;000 feet. Made slight correction; warning ceased and landed uneventfully.",,,,"A320 Captain reported being high crossing FAF then receiving 'terrain; terrain' warning from aircraft.",
1589830,201810,0601-1200,ZZZ.TRACON,US,,,,10000,,VMC,,,,,,TRACON ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Descent,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Confusion; Situational Awareness,,,1589830,Aircraft X,Flight Deck,Air Carrier,First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 220; Flight Crew Total 4700; Flight Crew Type 1100,,Confusion; Situational Awareness,,,1589941,ATC Issue All Types; Deviation - Speed All Types; Deviation / Discrepancy - Procedural FAR,,,Person Observer,In-flight,,Human Factors; Procedure,Human Factors,"On the arrival into ZZZ; ATC requested that we deviate from 250 knots below 10;000 in order to resolve possible conflict with VFR traffic. I asked controller several times if he wanted altitude or speed and he responded that he needed altitude and gave us a clearance to fly above 250 knots below 10;000 feet. We had an FAA Examiner in the jump seat and upon arrival into ZZZ he inquired about the speed deviation. My First Officer (FO) and I explained to him the abnormal clearance.",,"Descent through 10;000 feet ATC asked for a undo-able descent rate and slow down to 250kts per 250 below 10;000 requirement. Pilot Not Flying (PNF) asked ATC which was more important for the traffic conflict the altitude or the speed. He stated greater than 250 was ok; I need the descent rate. We complied and no traffic conflict happened. Upon landing the FAA Check Airmen on the jumpseat debriefed me on my speed deviation below 10;000 feet and said he did not hear the radio call. I confirmed with the Captain and we were in concurrence on how the event happened. I am not aware of any deviation filed by the FAA but wanted the details recorded.",,"A319 flight crew reported ATC approved speed above 250 knots below 10;000 feet; but were question by the Check Airman onboard who did not hear the clearance.",
1589848,201810,0601-1200,BOS.Airport,MA,,,,1500,,VMC,,,,,,TRACON A90,Air Carrier,EMB ERJ 190/195 ER/LR,,2,Part 121,IFR,Passenger,,Final Approach,,Class B BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Total 14000,,Confusion,,,1589848,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Total 11000,,Confusion,,,1589841,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Automation Air Traffic Control,In-flight,Flight Crew Returned To Clearance,Procedure; Human Factors; ATC Equipment / Nav Facility / Buildings,Procedure,"Cleared for the visual approach; within 10 DME ILIP I descended from our last assigned altitude (2000 ft) to glide slope intercept altitude at NIMOY (1500 feet). A couple of miles from FAF; ATC sent an altitude alert which we acknowledged. We had towers to the east of the course inbound in sight as weather was CAVU (Ceiling and Visibility Unlimited) and we had the terrain feature on. After being cleared for the visual approach from a vector; I judged prudent to be established at glideslope intercept altitude and configured as we were within 10 NM from the airport and prevailing weather conditions were VFR.I would intercept the course inbound of the published instrument approach and adhere to the published flight path provided by the electronic glideslope to prevent an altitude/ terrain alert by ATC. As a rule of thumb; keeping a 3:1 glide path would have also prevented the altitude alert call by ATC.",,"[Report narrative contained no additional information.]",,"ERJ-190 flight crew reported receiving a low altitude alert while on a visual approach and descending below the glideslope.",
1590012,201810,0001-0600,ZZZ.Airport,US,,,1000,,,,,,Daylight,,,Tower ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Autothrottle/Speed Control,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 419,,Confusion,,,1590012,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,Aircraft,Aircraft,"After 1000 feet I noticed a decrease in aircraft performance. I picked up that the autothrottles were not moving to commanded position even though they were engaged. I'm sure they were set properly for takeoff but not sure when the discrepancy took place. My scan wasn't as well developed since I've only flown the MAX once before. I manually positioned the thrust levers ASAP. This resolved the threat; we were able to increase speed to clean up and continue the climb to 3000 feet. Shortly afterwards I heard about the (other carrier) accident and am wondering if any other crews have experienced similar incidents with the autothrottle system on the MAX? Or I may have made a possible flying mistake which is more likely. The FO (First Officer) was still on his first month and was not able to identify whether it was the aircraft or me that was in error.",,,,"B737-MAX8 Captain reported the autothrottles failed to move to the commanded position during takeoff and climb.",
1590098,201810,,ORD.Airport,IL,,,,,,VMC,Windshear,,,,,TRACON C90,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Climb,Vectors,Class B ORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Type 390,,Workload; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1590098,,,,,,,,,,,,ATC Issue All Types; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Fuel Issue; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach; Flight Crew Returned To Clearance,Human Factors; Procedure; Weather,Human Factors,"Flying ORD with ZZZ as an alternate. We were outside the final approach fix to 27R beginning the configuration process when we noticed the following [traffic] go around. The weather was at least 20 north of the field so I didn't think anything of it. We were fully configured and got a reactive wind shear warning and went around (disclaimer the Captain was convinced it was predictive WS however I don't recall the aircraft saying WS ahead). I followed the [applicable] guidance then cleaned up afterwards. ATC provided zero help; initially they asked if we needed help but a few seconds later changed their minds on heading and altitude at least 5 times (maybe more) increasing our workload significantly. At one point; we were climbing to 5;000 and they asked for a level off at 4 when we were passing through 3;700 (and obviously overshot it) and I disconnected the AP and lowered the nose. With the AP back on we decided to divert to ZZZ1; our planned ALT was on the other side of the weather and both of us didn't want to fly that direction. The CA (Captain) gave me the plane and spoke to dispatch and let them know of our intentions; get weather and NOTAMS and request landing data. We landed uneventfully on XXR with zero landing data (we [alerted] min fuel; had no time to wait around for dispatch to send it to the aircraft). We landed in ZZZ1 with 4.3 and taxied to a remote pad where we were refueled.",,,,"A320 First Officer reported an altitude overshoot due to ATC issuing several heading and altitude changes during heavy workload missed approach.",
1590117,201810,0601-1200,CLT.Airport,NC,,,,17500,,VMC,Turbulence,,Daylight,,,Center ZTL,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,Passenger,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center ZTL,Air Carrier,Widebody Transport,,2,Part 121,IFR,,,Climb,,Class A ZTL,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1590117,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1590682,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Wake Vortex Encounter,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Regained Aircraft Control; Flight Crew Returned To Clearance; Flight Crew Took Evasive Action,Environment - Non Weather Related; Procedure,Procedure,"We were [departing] CLT. A Heavy aircraft took off immediately before us on 36C in CLT [along the same route]. Tower gave us a 'caution wake turbulence' when they gave us the lineup and wait. After the Heavy departed; Tower crossed a couple of aircraft downfield before giving us takeoff clearance (my estimate was about 2 minutes after issuing the takeoff clearance for the Heavy). We briefed CONT IGN on for possible wake and noted where the Heavy lifted off. We were able to rotate before his rotation point and turned slightly upwind of him. Initial climbout was uneventful and we selected continuous ignition OFF at approximately 12;000 feet as we felt the wake turbulence threat was over. We were keeping an eye on the Heavy that we were following on the TCAS. As we passed through FL175; the Heavy was approximately 10 NM in front of us and 3800 feet above us (with a slightly quartering headwind of 40 knots). We suddenly encountered severe wake turbulence. I immediately turned on continuous ignition. The autopilot disconnected itself and the airplane went through a series of rather violent pitch and roll oscillations. I assumed manual control and had difficulties controlling the flight path of the aircraft. My initial reaction was to change altitude to get out of the wake; but without knowing the climb rate of the other aircraft; I was unable to determine if we could out climb it. I made the decision that the quickest and safest way to exit the wake was to make a slight turn to the left (upwind) to get out of the flight path of the heavy. As I did this; I told the First Officer (FO) to let Center know we were deviating left for severe wake turbulence. After a few seconds on the new heading; we exited the wake turbulence. The Controller did not hear us/understand us the first call; so we had to make additional calls to her to tell her what was going on. She did not sound happy with us and snapped at us for deviating without 'asking first.' We simply did not have time to ask nor did we have time to explain the situation. I exercised my PIC authority to deviation for what in my mind was an emergency situation (aircraft out of control). By the time we were able to converse with ATC; the situation was over; so we did not officially declare an emergency. I also had the TCAS on ABV/BLW modes and saw no potential traffic conflicts. We stayed on the offset heading for a few more miles until we were comfortable with the spacing and then continued on our flight. After the situation stabilized; I had my FO call the FA's to make sure everyone was ok. They reported there were no injuries but that the flight deck door had come unlocked and opened during the event (it was locked prior to the wake encounter). We re-secured the flight deck door and I made a PA to the passengers explaining the encounter in an attempt to calm their nerves. We continued without further incident. Inadequate spacing between us and a Heavy aircraft on the same route. Increase spacing requirements between medium/heavy aircraft; even in the enroute environment. ZTL Controllers did not caution us about the wake from the heavy; nor did they try to give us any additional spacing even after the severe wake encounter.",,"[Report narrative contained no additional information.]",,"CRJ-900 flight crew reported encountering severe wake turbulence 10 nm in trail of a wide body transport aircraft climbing through FL175 departing CLT. Reporter recommended increased separation.",
1590273,201810,1801-2400,ZZZ.Airport,US,293,,,4500,,VMC,10,,Night,CLR,,Center ZZZ,FBO,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,1,Part 91,VFR,Training,,Cruise,Direct,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Air/Ground Communication,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Private; Flight Crew Instrument,Flight Crew Last 90 Days 35; Flight Crew Total 225; Flight Crew Type 225,,Communication Breakdown; Human-Machine Interface; Time Pressure,Party1 Flight Crew; Party2 ATC,,1590273,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation - Speed All Types,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed As Precaution,Aircraft,Aircraft,"Problems starting aircraft. Attempted 3-4 times; then consulted [maintenance]. Tried a couple more times; airplane started with a loud backfire. Lost comm 1 at run up. Consulted [maintenance] again; just switched over to comm 2; finished my run up; and before takeoff checklists and took off. Got established and at 4500 feet cruising and leveled off and trimmed. Flight was beautiful until I noticed my airspeed started to fall. I was level and hadn't adjusted anything. I increased my power and it slowly kept falling. I leveled off again and it kept falling. I double checked my pitot heat. I pushed the nose forward to trying to increase my speed. It seemed to hold the airspeed; but as soon as I leveled off again it began to fall. During all of this; comm 2 went in and out. Center informed me ZZZ was right in front of me. I descended and landed without issue to myself or aircraft. Taxied off runway. I don't know what caused the issue.",,,,"PA28 pilot reported radio malfunction along with gradual loss of engine power.",
1590288,201809,1801-2400,IAD.Airport,DC,,,,27000,,IMC,Cloudy,,Night,15000,,Center ZDC,Air Carrier,Commercial Fixed Wing,,2,Part 129,IFR,Passenger,,Descent,STAR GIBBZ2,Class A ZDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Relief Pilot; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 34; Flight Crew Total 5946; Flight Crew Type 15,,Confusion; Communication Breakdown; Other / Unknown,Party1 Flight Crew; Party2 ATC; Party2 Flight Crew,,1590288,,,,,,,,,,,,Deviation - Altitude Crossing Restriction Not Met; Deviation - Altitude Undershoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Flight Crew Became Reoriented; Flight Crew Returned To Clearance; Flight Crew Requested ATC Assistance / Clarification,Chart Or Publication; Company Policy; Human Factors,Ambiguous,"Aircraft was first cleared to FL270; subsequently the clearance descend via the GIBBZ2 was given and read back by the Captain. Both Pilot Flying and Pilot Monitoring did not understand that meant they could descend below FL270 via the arrival. Additionally it was briefed the GIBBZ Arrival is quite steep and drag may be needed; I queried the first observer if he agreed we were cellar via the arrival; he replied I was not paying attention. He then queried the Pilot Monitoring who said he thought it was FL270. I explained to him the decent via clearance at which point ATC was queried. They advised we were to comply with the altitude requirements on the arrival. They then issued a new altitude clearance and a heading. By the time I was able to clearly communicate to the crew we had already missed the FL250 crossing restriction at JIMVE. A contributing factor to this was the lack of intercom and boom mic for the second observer on the aircraft as I had to stand up to talk to the Pilot Monitoring clearly; additionally there is no port page annotation about the descend via clearance or the known steep arrival IAD combined with typically high tailwinds on this arrival.","Reporter was the only one of four pilots in the cockpit who initially understood the meaning of the 'descend via' clearance terminology as it is employed in the United States. Reporter stated the other three pilots were foreign and most likely trained abroad. Reporter did not comment on company training.",,,"Air carrier Relief Pilot reported a missed altitude restriction while on the GIBBZ2 arrival to IAD. The crew misunderstood the 'descend via' phraseology.",
1590376,201811,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,,,,,Air Taxi,Global 6000 (Bombardier),,2,Part 135,IFR,Passenger,,Initial Climb,,,,,,,,,,,,,,,,,,,,,,,,,,FMS/FMC,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Confusion; Human-Machine Interface; Time Pressure,,,1590376,,,,,,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Became Reoriented; Flight Crew Overcame Equipment Problem; Flight Crew Returned To Clearance,Aircraft; Human Factors; Procedure,Human Factors,"As SIC PNF (Second in Command; Pilot Not Flying) I was tasked with the cockpit duties. Getting the jet / cockpit ready for flight. All that that entails. I'm good at it; I like it. Very close to 40 minutes after entering the cockpit the 'cockpit' was ready to go fly. For a trip from ZZZ to [our international destination] it takes about that length of time. I did everything; I am very meticulous. Talk is cheap; I know.  I checked the route; I checked the SID; 1500 foot altitude restriction; I set up the noise abatement profile; I set up the ETP (Equal Time Point); etc; etc; ...I use a personal checklist to make sure I set up the cockpit correctly and completely. I am positive the [correct SID] departure was in the box; positive. Now; you probably have doubt but I'm telling you it was in there; period. We were busy with passengers; luggage; etc. right before engine start. This may be important; on international flights the clearance is only available 30 minutes prior to actual departure. On domestic flights it is available an hour prior to actual departures via [Company] scheduling. I received the clearance via CPDLC and there was an INSERT MOD of PUT. I accomplished entering the mod and checked route page that PUT had inserted correctly. I accomplished this just prior to passengers arriving. Everything is fine / normal. Loaded the luggage; started the engines; taxied; and pulled onto runway; and took off. All normal. Obviously not. I had checked the full route and SID prior to obtaining the CPDLC MOD clearance. Like an hour prior. I checked the MOD as I stated; but I did not recheck the whole route; why would I.The PIC (Pilot in Command) was inside FBO doing PIC duties. We did not check route together. But that is not unusual; again I am positive the [correct SID] was loaded; 1500 foot altitude restriction (NAV /VNAV).We were cleared for takeoff rather quickly; but not super fast. I had zero reason to think that we were not 100% ready to go. The PIC had briefed the noise abatement profile back in the chocks and I added that 1900 VSI would not be necessary because we would already be in ALT CAP; level off mode. Normal for the [departure]. On departure I noticed and verbalized that I did not see ALT CAP happening and to level off at 1500 feet. The standard departure SOP has the PNF looking at the altimeter a lot; very much oriented around altitude versus ground track. The PIC called for autopilot and of course tower switched us to departure control and the PIC said something to the effect of is the SID loaded. I don't know what he said but when I looked down at the MAP display we were driving into space on runway heading. No [SID]!First: when the jet receives a CPDLC clearance with a mod does that drop out the SID? I have no idea. I have had plenty of those type of clearances but cannot remember the specifics. Two: The charts had been 'updated' by Maintenance the previous night. I had to select proper date page out of ZZZ. Maybe that have had something to do with it? When we checked on with Departure Control they gave us a heading and climb right away which is kind of normal. They also said to fly the SID next time. I stated that it dropped out of the box on gear retraction. I had no reason to believe it was not in the box. I had no other answer; that is what I thought happened. I had checked it an hour or so ago. I am positive it was in the FMS way back during cockpit set up but prior to receiving CPDLC mod clearance.I have two recommendations: The go around call of flaps 6 spoilers zero should be changed. The spoilers zero means nothing to 99% of the crews. The callout has been diluted so bad it is meaningless. What does that have to do with anything? This; as an SOP we are to verbalize the 1st waypoint prior to takeoff. Most of the time we have to hunt for the waypoint because it is 10; 20; 30 miles away... meaningless. Change the SOP to RNAV departures only. That first fix is within 3-5 miles of the runway; important. That will help us emphasize that we are doing an RNAV departure and it is a little out of the ordinary. ZZZ1 and other airports make you read back first RNAV fix in takeoff clearance. Today the PIC may have; probably did; verbalize the first waypoint but I have the [SID] memorized and since it is an everyday sop his response did not draw me in as we were taking the runway and I was busy with all the other sops. There certainly is something to having so many sops that they become diluted; lose their importance. Maybe we have crossed the line just a bit. Without question; I pride myself in knowing the SOPs. But after I have verbalized the SOP am I really giving it the thought intended. No; I probably am not. Just some thoughts. I am not trying to change [Company]; I am not bucking the [Company] philosophy (I know my SOPs); just a couple of thoughts. We screwed up; obviously; BUT when did the [SID] drop out of the FMS. Seriously; I have no idea. Do you? Was it the MOD insert in the clearance? I need to know. We may have a few too many SOPs. They may have become diluted.",,,,"Global 6000 First Officer reported a route deviation due to an undetected FMC anomaly.",
1590378,201811,1801-2400,SLC.Airport,UT,,,,10000,,VMC,,,Dusk,,,TRACON S56,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,Passenger,FMS Or FMC,Climb,,Class B SLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON S56,Air Carrier,Bombardier/Canadair Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Descent,Vectors,Class B SLC,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Captain; Pilot Flying,Flight Crew Commercial,,,Communication Breakdown; Distraction,Party1 Flight Crew; Party2 ATC,,1590378,Facility S56.TRACON,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 1.5,,Communication Breakdown; Situational Awareness,Party1 ATC; Party2 Flight Crew,,1590295,Conflict Airborne Conflict; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,,,Person Flight Crew,In-flight,Flight Crew Returned To Clearance,Procedure; Human Factors,Human Factors,"We departed SLC on Runway 35 on the ARCHZ1 departure for ZZZ. We briefed our departure instructions and performed our route verification and all SOP's were complied with. The ARCHZ1 departure states assigned heading of 260 degrees for radar vectors to the first fix (SCANT intersection); cross above 10;000 feet and the top altitude is FL230. On departure we turned to the ATC assigned heading of 260 and we were climbing at a quick rate of 230 knots as assigned via our ATC clearance via ACARS. As I was passing through 10;000 feet we received a 'Traffic' alert from the TCAS. My first thought was we shouldn't be getting a 'Traffic Alert' and I reduced my climb rate. A few seconds later we received crossing traffic advisories from ATC and I quickly picked both targets up visually in my scan. We continued our climb and I keep thinking this departure didn't make sense with respect to the crossing traffic and our altitude. Moments later ATC cleared us to FL230. That's when I knew something wasn't right and we may have made a mistake. Soon after SLC cleared us a Center frequency and we continued on our way landing in ZZZ without incident. Once we leveled off I asked my partner to review our clearance and the SID. We found our mistake. Due to limitations of the Garmin ACARS system and the fact that ATC issues clearances via ACARS in no standard format we missed in our departure instructions our initial altitude level off of 10;000 feet.  We were cleared the ARCHZ1 departure and assigned an airspeed of 230 knot. The airspeed came before the or where the altitude portion of the clearance is usually published. This was confusing and we missed it. Also; coincidentally; the initial altitude published on the ARCHZ1 departure is FL230. The way the clearance was submitted and there being no standard format was a contributing factor to us missing the 10;000 foot clearance limit. The word EXCEPT in the ALT line would have helped us with our mistake. Also the 230 knot speed limit and the FL230 altitude on the SID created a chance for confusion. We never received a TA or RA on departure and I am not sure if ATC saw we didn't level off at 10;000 feet as our clearance called for. No threat between us or other aircraft existed but it could have during a busier time period. A standard format in which all ACARS clearances is a must to prevent errors in the future. Standard or universal clearances via ACARS between all ATC outlets.",,"Aircraft X checked in at '095 for 230'. He should have been stopped at 100 for the downwind traffic at 110. I did not hear 230 on his check-in and issued traffic but did not correct the altitude. He lost separation with Aircraft Y in the downwind at 110.  Not missing altitudes pilots say.",,"Corporate pilot and Air Traffic Controller reported a missed crossing restriction resulted in a loss of separation.",
