flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,flight_date,flight_year,flight_month,flight_day,year_month,problem_category,diverted_airport,diverted_flag,fueldump_flag
UAL14_20180616,UAL14,UA14,aa44d0,N76065,B764,KEWR,EGLL,EGLL,,unclear,planned,unknown,,,,,2018-06-16,2018,6,16,2018-06,unconfirmed_emergency,,False,False
IBK6241_20180616,IBK6241,D86241,4ca354,EI-FHD,B738,BIKF,EGBB,LEMD,EGBB,hydraulics,diverted,unknown,4b9f779c,hydraulics,diverted,unknown,2018-06-16,2018,6,16,2018-06,gear_hydraulics,EGBB,True,False
TOM54A_20180617,TOM54A,BY4764,406d6f,G-TUIH,B788,EGKK,,LDDU,EGKK,unclear,return,unknown,,,,,2018-06-17,2018,6,17,2018-06,unconfirmed_emergency,EGKK,True,False
EZY29JH_20180617,EZY29JH,U28191,406f01,G-EZOZ,A320,EGKK,,LIMC,LFPG,technical,diverted,unknown,,,,,2018-06-17,2018,6,17,2018-06,technical_systems,LFPG,True,False
EZY73FH_20180619,EZY73FH,U28301,406e69,G-EZOX,A320,EGKK,LFPG,LEMH,LFPG,medical,diverted,unknown,,,,,2018-06-19,2018,6,19,2018-06,medical_emergency,LFPG,True,False
VTM487_20180619,VTM487,VTM487,0d0af0,XA-UUL,SW4,KSDF,,KLRD,,,,,,,,,2018-06-19,2018,6,19,2018-06,unspecified,,False,False
AAL435_20180620,AAL435,AA435,a74679,N568UW,A321,KDFW,,KSMF,,,,,,,,,2018-06-20,2018,6,20,2018-06,unspecified,,False,False
ACA885_20180622,ACA885,AC885,c051e4,C-GFAH,A333,LFPG,LFPG,CYUL,LFPG,hydraulics,return,hold_to_reduce,4ba4a68b,hydraulics,return,unknown,2018-06-22,2018,6,22,2018-06,gear_hydraulics,LFPG,True,True
ANA232_20180622,ANA232,NH232,86d5d8,JA823A,B788,EBBR,EFHK,RJAA,EFHK,cracked_windshield,diverted,unknown,4ba3ebc0,cracked_windshield,diverted,unknown,2018-06-22,2018,6,22,2018-06,cracked_windshield,EFHK,True,False
CLX831_20180624,CLX831,CV831,4d010b,LX-VCV,B744,KORD,,KIND,,,,,,,,,2018-06-24,2018,6,24,2018-06,unspecified,,False,False
ARG1301_20180626,ARG1301,AR1301,e072d0,LV-GKP,A332,KJFK,,SAEZ,,,,,,,,,2018-06-26,2018,6,26,2018-06,unspecified,,False,False
DLH501_20180626,DLH501,LH501,3c4b28,D-ABYH,B748,LFPG,LFPG,EDDF,LFPG,medical,return,unknown,,,,,2018-06-26,2018,6,26,2018-06,medical_emergency,LFPG,True,False
QFA63_20180626,QFA63,QF63,7c4774,VH-OEE,B744,YSSY,FAOR,FAOR,,,,,,,,,2018-06-26,2018,6,26,2018-06,unspecified,,False,False
DAL819_20180630,DAL819,DL819,a3d3f0,N346DN,A321,KLAX,KATL,KATL,,,,,,,,,2018-06-30,2018,6,30,2018-06,unspecified,,False,False
TJK646_20180701,TJK646,7J646,0d0573,EY-444,B733,UUDD,UUUD,UTDL,UUUD,cabin_pressure,return,unknown,4ba9da5e,cabin_pressure,return,hold_to_reduce,2018-07-01,2018,7,1,2018-07,depressurization_cabin,UUUD,True,True
EZY57UT_20180705,EZY57UT,U22963,406d92,G-EZOM,A320,LIMC,,LGIR,LIMC,unclear,return,unknown,4badb5c2,smoke_burn_smell_flames,return,unknown,2018-07-05,2018,7,5,2018-07,smoke_fire_fumes,LIMC,True,False
NAX7191_20180706,NAX7191,DY7191,4950cd,CS-TFM,B772,LFPO,LFPO,KEWR,LFPO,landing_gear,return,hold_to_reduce,4bae6d1a,landing_gear,return,fueldump,2018-07-06,2018,7,6,2018-07,gear_hydraulics,LFPO,True,True
SWA4133_20180707,SWA4133,WN4133,aaa929,N7860A,B737,KMCO,KDAL,KDAL,,,,,,,,,2018-07-07,2018,7,7,2018-07,unspecified,,False,False
ASH5740_20180707,ASH5740,YV5740,a390e3,N329MS,CRJ9,KDFW,,KAMA,,,,,,,,,2018-07-07,2018,7,7,2018-07,unspecified,,False,False
ICE784_20180708,ICE784,FI784,4cc29f,TF-FIH,B752,BIKF,EGPF,EBLG,EGPF,unclear,diverted,unknown,,,,,2018-07-08,2018,7,8,2018-07,unconfirmed_emergency,EGPF,True,False
LCO1102_20180711,LCO1102,UC1102,a4f2d3,N418LA,B763,KMIA,KMIA,SAEZ,KMIA,unclear,return,unknown,,,,,2018-07-11,2018,7,11,2018-07,unconfirmed_emergency,KMIA,True,False
UPS59_20180711,UPS59,5X59,a7e310,N607UP,B748,VHHH,PANC,PANC,,,,,,,,,2018-07-11,2018,7,11,2018-07,unspecified,,False,False
UAL368_20180712,UAL368,UA368,aa2ba2,N75426,B739,KSFO,KPHX,KPHX,,unclear,unclear,unknown,,,,,2018-07-12,2018,7,12,2018-07,unconfirmed_emergency,,False,False
UZB765_20180714,UZB765,HY765,507c41,UK32018,A320,UTTT,UTTT,UAAA,UTTT,unclear,return,unknown,,,,,2018-07-14,2018,7,14,2018-07,unconfirmed_emergency,UTTT,True,False
EZY43YH_20180714,EZY43YH,,405b77,G-ECOD,DH8D,,EGCC,,,,,,,,,,2018-07-14,2018,7,14,2018-07,unspecified,,False,False
DAH1025_20180715,DAH1025,AH1025,0a0025,7T-VJR,B736,LFML,LFML,DAAG,LFML,unclear,return,unknown,,,,,2018-07-15,2018,7,15,2018-07,unconfirmed_emergency,LFML,True,False
BPA2221_20180717,BPA2221,BV2221,4d2124,9H-GTC,B734,LATI,LIPY,LIMC,LIPY,cracked_windshield,diverted,unknown,4bb59538,cracked_windshield,diverted,unknown,2018-07-17,2018,7,17,2018-07,cracked_windshield,LIPY,True,False
AZA875_20180719,AZA875,AZ875,4ca82e,EI-DTN,A320,GMMN,,LIRF,LIEE,unclear,diverted,unknown,4bb636ac,fuel_leak,diverted,unknown,2018-07-19,2018,7,19,2018-07,fuel_issue,LIEE,True,False
BAW2605_20180719,BAW2605,BA2605,406b83,G-GATR,A320,LIRN,EGKK,EGKK,,hydraulics,planned,unknown,4bb62e20,hydraulics,planned,unknown,2018-07-19,2018,7,19,2018-07,gear_hydraulics,,False,False
VIV1145_20180720,VIV1145,VB1145,4ca922,EI-ERH,A320,MMUN,,MMMY,,,,,,,,,2018-07-20,2018,7,20,2018-07,unspecified,,False,False
DAL84_20180720,DAL84,DL84,ab9387,N845MH,B764,KATL,LFPG,LFPG,,unclear,unclear,unknown,,,,,2018-07-20,2018,7,20,2018-07,unconfirmed_emergency,,False,False
ACA548_20180720,ACA548,AC548,c0293e,C-FPQB,B789,CYVR,,KEWR,,unclear,unclear,unknown,,,,,2018-07-20,2018,7,20,2018-07,unconfirmed_emergency,,False,False
TCX79AT_20180725,TCX79AT,MT1591,406b40,G-ZBAM,A321,LEIB,EGPF,EGPF,,tyre,planned,unknown,4bb9b07c,tyre,planned,unknown,2018-07-25,2018,7,25,2018-07,tyre,,False,False
CCA876_20180726,CCA876,CA876,7811a3,B-1467,B789,LFPG,LFPG,ZBAA,LFPG,bomb_threat,diverted,fueldump,,,,,2018-07-26,2018,7,26,2018-07,bomb_threat,LFPG,True,True
VOE24VW_20180726,VOE24VW,V72447,3455d8,EC-MTD,A319,LIRN,LFLL,LFBD,LFLL,unclear,diverted,unknown,,,,,2018-07-26,2018,7,26,2018-07,unconfirmed_emergency,LFLL,True,False
CFG8CM_20180726,CFG8CM,DE1441,3c49ea,D-ABOJ,B753,GCFV,LFPG,EDDH,LFPG,medical,diverted,unknown,,,,,2018-07-26,2018,7,26,2018-07,medical_emergency,LFPG,True,False
LAN471_20180726,LAN471,LA471,e80416,CC-BAF,A320,SAAR,,SCEL,,,,,,,,,2018-07-26,2018,7,26,2018-07,unspecified,,False,False
MRA655_20180728,MRA655,MRA655,a01616,N1041L,C208,KTYR,,KDFW,,,,,,,,,2018-07-28,2018,7,28,2018-07,unspecified,,False,False
AFL2200_20180729,AFL2200,SU2200,424599,VQ-BSL,A320,UUEE,ULLI,EFHK,ULLI,medical,diverted,unknown,,,,,2018-07-29,2018,7,29,2018-07,medical_emergency,ULLI,True,False
FDB836_20180730,FDB836,FZ836,8962b8,A6-FDM,B738,OEJN,,OMDB,,,,,,,,,2018-07-30,2018,7,30,2018-07,unspecified,,False,False
UAL41_20180730,UAL41,UA41,aa44cd,N76062,B764,LIRF,EGPF,KEWR,EGPF,medical,diverted,unknown,,,,,2018-07-30,2018,7,30,2018-07,medical_emergency,EGPF,True,False
QID268_20180730,QID268,,ae013c,60-0344,K35R,,EGUN,,,,,,,,,,2018-07-30,2018,7,30,2018-07,unspecified,,False,False
AAL484_20180731,AAL484,AA484,a031bd,N111US,A320,KOAK,KSFO,KDFW,KSFO,door,diverted,hold_to_reduce,,,,,2018-07-31,2018,7,31,2018-07,door,KSFO,True,True
VLG63PR_20180802,VLG63PR,VY6224,342398,EC-JTR,A320,LIRF,LIRF,EGKK,LIRF,medical,return,unknown,,,,,2018-08-02,2018,8,2,2018-08,medical_emergency,LIRF,True,False
CAP3238_20180804,CAP3238,,ad03a1,N938CP,C182,KRDU,KRDU,,,,,,,,,,2018-08-04,2018,8,4,2018-08,unspecified,,False,False
WJA211_20180804,WJA211,WS211,c07eda,C-GWAZ,B737,CYEG,CYVR,CYVR,,,,,,,,,2018-08-04,2018,8,4,2018-08,unspecified,,False,False
